citing_assignee_organization,cpc_subclass_title,citation_count
"Alpine Electronics, Inc.",Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-with correlation of data from several navigational instruments-Map- or contour-matching-Structuring or formatting of map data,1
"Amazon Technologies, Inc.",Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-Route searching; Route guidance-Input/output arrangements for on-board computers-Details of the output of route guidance instructions -Timing of guidance instructions,1
"Amita Technologies, Inc.",Circuit arrangements for charging or depolarising batteries or for supplying loads from batteries-with safety or protection devices or circuits,1
"Applied Materials, Inc.","Chemical coating by decomposition of gaseous compounds, without leaving reaction products of surface material in the coating, i.e. chemical vapour deposition [CVD] processes -characterised by the method of coating -characterised by the method used for introducing gases into reaction chamber or for modifying gas flows in reaction chamber-Pulsed gas flow or change of composition over time-Atomic layer deposition [ALD]-characterized by the ALD cycle, e.g. different flows or temperatures during half-reactions, unusual pulsing sequence, use of precursor mixtures or auxiliary reactants or activations-specially adapted for making a layer stack of alternating different compositions or gradient compositions",1
"Applied Materials, Inc.","Chemical coating by decomposition of gaseous compounds, without leaving reaction products of surface material in the coating, i.e. chemical vapour deposition [CVD] processes -characterised by the method of coating -characterised by the method used for introducing gases into reaction chamber or for modifying gas flows in reaction chamber-Pulsed gas flow or change of composition over time-Atomic layer deposition [ALD]-characterized by the ALD cycle, e.g. different flows or temperatures during half-reactions, unusual pulsing sequence, use of precursor mixtures or auxiliary reactants or activations-specially adapted for making ternary or higher compositions",1
"Applied Materials, Inc.",Processes or apparatus adapted for the manufacture or treatment of semiconductor or solid state devices or of parts thereof-Manufacture or treatment of devices consisting of a plurality of solid state components formed in or on a common substrate or of parts thereof; Manufacture of integrated circuit devices or of parts thereof -Manufacture of specific parts of devices defined in group H01L21/70 -Applying interconnections to be used for carrying current between separate components within a device ; comprising conductors and dielectrics-characterised by the formation and the after-treatment of the conductors,1
"Applied Materials, Inc.","Processes or apparatus adapted for the manufacture or treatment of semiconductor or solid state devices or of parts thereof-Manufacture or treatment of semiconductor devices or of parts thereof-Forming layers -Forming insulating materials on a substrate-characterised by the process for the formation of the insulating layer-formation by a deposition process -deposition from the gas or vapour phase-deposition by decomposition or reaction of gaseous or vapour phase compounds, i.e. chemical vapour deposition -deposition by cyclic CVD, e.g. ALD, ALE, pulsed CVD",1
Asco Numatics GmbH,"Actuating devices;;  Operating means; Releasing devices -electric ; magnetic-using a magnet ; , e.g. diaphragm valves, cutting off by means of a liquid-with an articulated or pivot armature",1
"Auto Meter Products, Inc.",Arrangements for measuring currents or voltages or for indicating presence or sign thereof -Indicating that current or voltage is either above or below a predetermined value or within or outside a predetermined range of values-characterised by the application-in AC or DC supplies -for batteries,1
"AutoNetworks Technologies, Ltd.","Structural associations of a plurality of mutually-insulated electrical connecting elements, specially adapted for printed circuits, e.g. printed circuit boards [PCBs], flat or ribbon cables, or like generally planar structures, e.g. terminal strips, terminal blocks; Coupling devices specially adapted for printed circuits, flat or ribbon cables, or like generally planar structures; Terminals specially adapted for contact with, or insertion into, printed circuits, flat or ribbon cables, or like generally planar structures -Fixed connections-for rigid printed circuits or like structures-characterised by the terminals-terminals for insertion into holes-Terminals having a press fit or a compliant portion and a shank passing through a hole in the printed circuit board",1
Automatad Assembly Corporation,"Light guides-specially adapted for lighting devices or systems -the light guides being planar or of plate-like form-Mechanical or electrical aspects of the light guide and light source in the lighting device peculiar to the adaptation to planar light guides, e.g. concerning packaging-Details of electrical connections of light sources to drivers, circuit boards, or the like",1
"Automotive Components Holdings, LLC","Separation of gases or vapours; Recovering vapours of volatile solvents from gases; Chemical or biological purification of waste gases, e.g. engine exhaust gases, smoke, fumes, flue gases, aerosols, -Chemical or biological purification of waste gases-of engine exhaust gases -by catalytic processes-Simultaneously removing carbon monoxide, hydrocarbons or nitrogen oxides making use of three-way catalysts [TWC] or four-way-catalysts [FWC]-characterised by a specific device",1
"Automotive Technologies International, Inc.",Seats specially adapted for vehicles; Arrangement or mounting of seats in vehicles -Passenger detection systems,1
"B/E Aerospace, Inc.","Machines, plant, or systems, using electric or magnetic effects -using Peltier effect; using Nernst-Ettinghausen effect",1
BAE Systems Information and Electronic Systems Integration Inc.,"Direction-finders for determining the direction from which infrasonic, sonic, ultrasonic, or electromagnetic waves, or particle emission, not having a directional significance, are being received -using radio waves-Details",1
